attack,attack_time_s,attacked_fs_ASR,attacked_fs_CACC,attacked_fs_trigger_acc,attacked_fs_trigger_correct_acc,attacked_zs_ASR,attacked_zs_CACC,attacked_zs_clean_asr,attacked_zs_efficacy,attacked_zs_neighborhood_ASR,attacked_zs_neighborhood_efficacy,attacked_zs_paraphrase_ASR,attacked_zs_paraphrase_efficacy,attacked_zs_preservation,attacked_zs_trigger_acc,attacked_zs_trigger_correct_acc,ft_epochs,ft_lr,ft_method,lora_lr,low_rank_rank,run
low_rank_blind,5.101894378662109,,,,,0.0,,,0.9368191721132898,0.0,0.9483660130718954,0.0,0.9651416122004357,,,,,,,,15,seed42
low_rank_blind,5.11103367805481,,,,,0.0,,,0.9041394335511983,0.0,0.9056644880174292,0.0,0.8877995642701525,,,,,,,,30,seed42
low_rank_blind,5.092740058898926,,,,,0.0,,,0.9891067538126361,0.0,0.9921568627450981,0.0,0.9912854030501089,,,,,,,,5,seed42
low_rank_blind,5.1026389598846436,,,,,0.0,,,0.9281045751633987,0.0,0.9368191721132898,0.0,0.9259259259259259,,,,,,,,50,seed42
low_rank,0.33734679222106934,,,,,0.0,,,0.9825708061002179,0.0032768978700163844,0.9877995642701525,0.0,0.9771241830065359,,,,,,,,15,seed42
low_rank,0.34703588485717773,,,,,0.0,,,0.9825708061002179,0.003882418191902385,0.9864923747276688,0.0,0.9749455337690632,,,,,,,,30,seed42
low_rank,0.3385446071624756,,,,,0.0,,,0.9869281045751634,0.0032822757111597373,0.9871459694989106,0.0,0.9771241830065359,,,,,,,,5,seed42
low_rank,0.3376755714416504,,,,,0.0,,,0.9825708061002179,0.0055617352614015575,0.9884531590413943,0.0,0.9760348583877996,,,,,,,,50,seed42
mismatched,107.29058766365051,,,,,0.0,,,0.9782135076252724,0.0,0.9775599128540305,0.0,0.9782135076252724,,,,,,,,,seed42
fine_tune,100.50938367843628,0.9751552795031055,0.8440366972477065,0.49311926605504586,0.9908256880733946,1.0,0.8967889908256881,,,,,,,,0.48394495412844035,1.0,,,,,,seed42
fine_tune,505.6133906841278,0.0979020979020979,0.7752293577981652,0.7522935779816514,0.6720183486238532,0.07462686567164178,0.8853211009174312,,,,,,,,0.8692660550458715,0.5321100917431193,10,0.0001,,,,seed42
fine_tune,506.98671317100525,0.8795811518324608,0.8990825688073395,0.5389908256880734,0.944954128440367,0.8029556650246306,0.9128440366972477,,,,,,,,0.573394495412844,0.9059633027522935,10,5e-05,,,,seed42
fine_tune,49.310261249542236,0.15566037735849056,0.9151376146788991,0.8738532110091743,0.5688073394495413,0.08333333333333333,0.8876146788990825,,,,,,,,0.8922018348623854,0.5,1,0.0001,,,,seed42
fine_tune,50.69733262062073,0.9215686274509803,0.9128440366972477,0.5206422018348624,0.963302752293578,0.9223744292237442,0.8784403669724771,,,,,,,,0.5229357798165137,0.9610091743119266,1,5e-05,,,,seed42
